GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total:,Built 1999 to March 2000,Built 1995 to 1998,Built 1990 to 1994,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
1400000US48453001851,48453001851,"Census Tract 18.51, Travis County, Texas",3146,539,1660,484,345,65,16,21,16,0
1400000US48453001852,48453001852,"Census Tract 18.52, Travis County, Texas",3557,155,779,620,1734,202,39,28,0,0
1400000US48453001853,48453001853,"Census Tract 18.53, Travis County, Texas",1308,31,163,167,926,21,0,0,0,0
1400000US48453001901,48453001901,"Census Tract 19.01, Travis County, Texas",3087,0,72,169,681,1244,534,351,15,21
1400000US48453001904,48453001904,"Census Tract 19.04, Travis County, Texas",2267,47,130,197,453,678,472,224,35,31
1400000US48453001906,48453001906,"Census Tract 19.06, Travis County, Texas",2546,93,331,467,1029,550,60,0,0,16
1400000US48453001908,48453001908,"Census Tract 19.08, Travis County, Texas",1070,161,472,115,212,76,9,12,6,7
1400000US48453001909,48453001909,"Census Tract 19.09, Travis County, Texas",3504,483,1940,84,289,500,169,36,1,2
1400000US48453001910,48453001910,"Census Tract 19.10, Travis County, Texas",1768,32,319,258,676,365,84,34,0,0
1400000US48453001911,48453001911,"Census Tract 19.11, Travis County, Texas",2009,78,369,153,736,580,76,10,7,0
1400000US48453001912,48453001912,"Census Tract 19.12, Travis County, Texas",1167,82,105,298,539,59,10,52,11,11
1400000US48453001913,48453001913,"Census Tract 19.13, Travis County, Texas",1383,161,186,210,478,200,96,42,0,10
1400000US48453002002,48453002002,"Census Tract 20.02, Travis County, Texas",1364,0,20,13,117,174,329,588,118,5
1400000US48453002003,48453002003,"Census Tract 20.03, Travis County, Texas",1491,0,4,23,424,528,219,192,87,14
1400000US48453002004,48453002004,"Census Tract 20.04, Travis County, Texas",1451,0,151,114,666,358,117,26,9,10
1400000US48453002005,48453002005,"Census Tract 20.05, Travis County, Texas",2422,10,63,69,617,939,569,94,43,18
1400000US48453002104,48453002104,"Census Tract 21.04, Travis County, Texas",1228,0,0,0,68,212,200,688,60,0
1400000US48453002105,48453002105,"Census Tract 21.05, Travis County, Texas",2164,17,132,90,437,628,350,322,168,20
1400000US48453002106,48453002106,"Census Tract 21.06, Travis County, Texas",1220,5,15,4,77,265,503,327,11,13
1400000US48453002107,48453002107,"Census Tract 21.07, Travis County, Texas",1507,0,18,9,158,392,615,239,47,29
1400000US48453002108,48453002108,"Census Tract 21.08, Travis County, Texas",1264,27,23,130,403,419,223,33,6,0
1400000US48453002109,48453002109,"Census Tract 21.09, Travis County, Texas",1292,22,18,23,113,175,489,254,89,109
1400000US48453002110,48453002110,"Census Tract 21.10, Travis County, Texas",1023,46,67,27,85,155,201,246,163,33
1400000US48453002111,48453002111,"Census Tract 21.11, Travis County, Texas",1459,5,28,45,188,432,321,291,97,52
1400000US48453002112,48453002112,"Census Tract 21.12, Travis County, Texas",1926,0,39,0,303,539,582,346,55,62
1400000US48453002113,48453002113,"Census Tract 21.13, Travis County, Texas",1359,0,12,34,152,378,696,67,20,0
1400000US48453002201,48453002201,"Census Tract 22.01, Travis County, Texas",509,0,0,0,194,205,71,19,20,0
1400000US48453002202,48453002202,"Census Tract 22.02, Travis County, Texas",1397,228,311,31,421,255,126,16,0,9
1400000US48453002205,48453002205,"Census Tract 22.05, Travis County, Texas",2062,133,440,168,628,393,165,88,42,5
1400000US48453002206,48453002206,"Census Tract 22.06, Travis County, Texas",2828,312,514,114,893,476,150,142,91,136
1400000US48453002303,48453002303,"Census Tract 23.03, Travis County, Texas",0,0,0,0,0,0,0,0,0,0
1400000US48453002304,48453002304,"Census Tract 23.04, Travis County, Texas",2789,21,45,91,512,1252,808,20,7,33
1400000US48453002307,48453002307,"Census Tract 23.07, Travis County, Texas",2574,0,27,112,1144,792,415,68,7,9
1400000US48453002308,48453002308,"Census Tract 23.08, Travis County, Texas",2058,16,70,37,352,726,560,217,40,40
1400000US48453002310,48453002310,"Census Tract 23.10, Travis County, Texas",1373,36,252,75,323,460,130,41,14,42
1400000US48453002311,48453002311,"Census Tract 23.11, Travis County, Texas",2796,45,1194,193,521,321,341,128,45,8
1400000US48453002312,48453002312,"Census Tract 23.12, Travis County, Texas",1165,102,153,39,177,170,179,203,76,66
1400000US48453002313,48453002313,"Census Tract 23.13, Travis County, Texas",1684,206,129,309,686,228,78,38,0,10
1400000US48453002314,48453002314,"Census Tract 23.14, Travis County, Texas",2096,8,370,197,1002,495,8,16,0,0
1400000US48453002315,48453002315,"Census Tract 23.15, Travis County, Texas",1588,29,0,46,423,976,86,28,0,0
1400000US48453002316,48453002316,"Census Tract 23.16, Travis County, Texas",2238,0,236,265,525,645,536,31,0,0
1400000US48453002402,48453002402,"Census Tract 24.02, Travis County, Texas",2038,18,39,55,535,803,451,82,35,20
1400000US48453002403,48453002403,"Census Tract 24.03, Travis County, Texas",1012,6,28,15,167,455,289,46,6,0
1400000US48453002407,48453002407,"Census Tract 24.07, Travis County, Texas",888,7,67,44,281,336,82,42,11,18
1400000US48453002409,48453002409,"Census Tract 24.09, Travis County, Texas",1251,0,32,51,275,727,110,47,0,9
1400000US48453002410,48453002410,"Census Tract 24.10, Travis County, Texas",1723,23,34,141,663,698,117,35,0,12
1400000US48453002411,48453002411,"Census Tract 24.11, Travis County, Texas",1382,21,88,75,358,733,76,19,0,12
1400000US48453002412,48453002412,"Census Tract 24.12, Travis County, Texas",1373,18,8,39,371,837,54,26,10,10
1400000US48453002413,48453002413,"Census Tract 24.13, Travis County, Texas",882,0,6,24,278,470,65,39,0,0
1400000US48453002416,48453002416,"Census Tract 24.16, Travis County, Texas",3104,388,504,252,610,658,286,193,83,130
1400000US48453002417,48453002417,"Census Tract 24.17, Travis County, Texas",2519,105,650,262,619,344,257,173,17,92
1400000US48453002418,48453002418,"Census Tract 24.18, Travis County, Texas",2006,303,221,152,657,510,131,7,7,18
1400000US48453002419,48453002419,"Census Tract 24.19, Travis County, Texas",1901,0,538,462,816,56,0,29,0,0
1400000US48453002420,48453002420,"Census Tract 24.20, Travis County, Texas",2836,136,338,277,951,946,167,12,9,0
1400000US48453002421,48453002421,"Census Tract 24.21, Travis County, Texas",1341,49,349,236,605,76,17,9,0,0
1400000US48453002422,48453002422,"Census Tract 24.22, Travis County, Texas",2025,0,31,148,608,1014,123,57,9,35
1400000US48453002423,48453002423,"Census Tract 24.23, Travis County, Texas",1882,0,396,193,1093,146,27,19,8,0
1400000US48453002424,48453002424,"Census Tract 24.24, Travis County, Texas",1386,25,32,9,511,607,94,100,8,0
1400000US48491020101,48491020101,"Census Tract 201.01, Williamson County, Texas",3887,441,1911,344,597,523,52,10,9,0
1400000US48491020102,48491020102,"Census Tract 201.02, Williamson County, Texas",2470,114,648,206,907,457,106,22,5,5
1400000US48491020103,48491020103,"Census Tract 201.03, Williamson County, Texas",1893,76,363,197,691,537,21,0,0,8
1400000US48491020104,48491020104,"Census Tract 201.04, Williamson County, Texas",1555,128,383,161,370,404,65,6,23,15
1400000US48491020200,48491020200,"Census Tract 202, Williamson County, Texas",2856,233,797,315,545,390,113,129,88,246
1400000US48491020301,48491020301,"Census Tract 203.01, Williamson County, Texas",1059,52,222,109,252,176,55,23,52,118
1400000US48491020302,48491020302,"Census Tract 203.02, Williamson County, Texas",900,47,263,105,329,84,41,0,10,21
1400000US48491020303,48491020303,"Census Tract 203.03, Williamson County, Texas",1312,81,514,132,289,183,75,0,15,23
1400000US48491020305,48491020305,"Census Tract 203.05, Williamson County, Texas",1293,118,463,134,361,213,4,0,0,0
1400000US48491020306,48491020306,"Census Tract 203.06, Williamson County, Texas",3231,548,1581,352,327,360,15,26,6,16
1400000US48491020307,48491020307,"Census Tract 203.07, Williamson County, Texas",3706,394,1385,614,1116,171,17,0,0,9
1400000US48491020308,48491020308,"Census Tract 203.08, Williamson County, Texas",3042,290,831,501,792,574,36,11,7,0
1400000US48491020309,48491020309,"Census Tract 203.09, Williamson County, Texas",2589,414,620,425,827,223,44,5,7,24
1400000US48491020310,48491020310,"Census Tract 203.10, Williamson County, Texas",909,5,24,67,440,350,10,7,0,6
1400000US48491020402,48491020402,"Census Tract 204.02, Williamson County, Texas",2680,37,341,183,925,1148,21,11,14,0
1400000US48491020403,48491020403,"Census Tract 204.03, Williamson County, Texas",634,0,14,38,282,300,0,0,0,0
1400000US48491020404,48491020404,"Census Tract 204.04, Williamson County, Texas",1352,0,12,0,884,456,0,0,0,0
1400000US48491020405,48491020405,"Census Tract 204.05, Williamson County, Texas",2352,6,32,49,1225,932,87,7,0,14
1400000US48491020406,48491020406,"Census Tract 204.06, Williamson County, Texas",2161,16,141,318,1362,314,0,0,0,10
1400000US48491020407,48491020407,"Census Tract 204.07, Williamson County, Texas",4289,174,896,1121,1761,294,0,43,0,0
1400000US48491020501,48491020501,"Census Tract 205.01, Williamson County, Texas",3030,424,1094,796,665,44,0,0,0,7
