GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",2499,85,1694,180,1188,182,506,156,75,55,431,150,805,165,458,125,347,133
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",2819,168,1334,180,1014,173,320,131,94,68,226,107,1485,212,1030,204,455,146
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",2525,138,1196,197,887,183,309,133,70,57,239,122,1329,215,1067,197,262,122
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",929,45,587,55,501,61,86,36,7,10,79,35,342,64,323,64,19,18
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",2129,144,566,161,389,134,177,102,31,49,146,94,1563,195,1111,211,452,143
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",701,62,196,47,126,42,70,36,39,25,31,27,505,63,432,65,73,30
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",2314,117,965,141,876,133,89,70,14,23,75,64,1349,186,1000,224,349,149
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",2050,56,1816,88,1692,111,124,81,61,58,63,57,234,83,209,83,25,23
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",1783,61,1269,121,1005,123,264,96,51,36,213,87,514,116,421,95,93,66
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",1049,57,562,76,520,79,42,35,8,14,34,33,487,82,396,86,91,58
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",5284,274,4194,336,3933,311,261,133,114,98,147,105,1090,279,788,247,302,141
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",3017,171,1767,166,1570,149,197,122,62,76,135,97,1250,205,1027,197,223,130
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",2572,180,2031,176,1821,158,210,101,41,37,169,94,541,168,422,151,119,54
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",4887,264,3858,265,3425,314,433,207,207,148,226,130,1029,266,862,238,167,148
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",2585,226,1883,212,1640,219,243,128,29,38,214,127,702,208,555,184,147,105
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",2532,232,1747,199,1459,141,288,151,85,95,203,119,785,206,545,186,240,110
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",2075,119,1486,173,1287,176,199,127,98,104,101,76,589,162,473,144,116,81
1400000US48453001770,48453001770,"Census Tract 17.70, Travis County, Texas",4024,113,3559,194,3137,245,422,215,144,177,278,109,465,182,385,163,80,85
1400000US48453001771,48453001771,"Census Tract 17.71, Travis County, Texas",1712,149,1228,160,1192,156,36,33,16,20,20,24,484,152,417,118,67,73
1400000US48453001772,48453001772,"Census Tract 17.72, Travis County, Texas",1208,144,942,122,567,125,375,145,114,78,261,129,266,125,180,93,86,65
1400000US48453001773,48453001773,"Census Tract 17.73, Travis County, Texas",2628,149,2108,158,2001,168,107,61,5,9,102,62,520,159,470,155,50,35
1400000US48453001774,48453001774,"Census Tract 17.74, Travis County, Texas",2768,174,2286,184,1970,182,316,139,122,101,194,99,482,167,318,111,164,109
1400000US48453001775,48453001775,"Census Tract 17.75, Travis County, Texas",1831,85,1551,136,1360,150,191,155,17,20,174,156,280,140,249,143,31,25
1400000US48453001776,48453001776,"Census Tract 17.76, Travis County, Texas",1157,60,732,108,445,90,287,94,96,55,191,72,425,97,224,71,201,77
1400000US48453001777,48453001777,"Census Tract 17.77, Travis County, Texas",2302,143,1520,189,1223,201,297,130,127,96,170,99,782,166,621,166,161,85
1400000US48453001778,48453001778,"Census Tract 17.78, Travis County, Texas",1758,171,1186,129,965,115,221,90,67,53,154,69,572,164,520,165,52,32
1400000US48453001779,48453001779,"Census Tract 17.79, Travis County, Texas",2521,249,1912,159,1721,199,191,136,22,43,169,135,609,226,509,220,100,87
1400000US48453001780,48453001780,"Census Tract 17.80, Travis County, Texas",1775,147,1245,131,1013,130,232,87,125,84,107,40,530,109,448,103,82,36
1400000US48453001781,48453001781,"Census Tract 17.81, Travis County, Texas",910,42,773,52,693,54,80,34,23,18,57,26,137,43,115,41,22,19
1400000US48453001782,48453001782,"Census Tract 17.82, Travis County, Texas",1718,72,1487,88,1345,103,142,78,34,48,108,70,231,74,224,75,7,10
1400000US48453001783,48453001783,"Census Tract 17.83, Travis County, Texas",1971,118,1415,128,1256,115,159,68,37,33,122,56,556,136,486,134,70,51
1400000US48453001784,48453001784,"Census Tract 17.84, Travis County, Texas",1880,88,1655,103,1499,119,156,81,50,48,106,65,225,79,184,62,41,48
1400000US48453001785,48453001785,"Census Tract 17.85, Travis County, Texas",2317,107,986,205,649,156,337,154,91,78,246,133,1331,222,1022,206,309,152
1400000US48453001786,48453001786,"Census Tract 17.86, Travis County, Texas",2541,147,1187,179,914,180,273,120,42,52,231,110,1354,185,1017,169,337,136
1400000US48453001804,48453001804,"Census Tract 18.04, Travis County, Texas",2651,111,1513,180,831,190,682,193,180,115,502,148,1138,173,818,181,320,106
1400000US48453001805,48453001805,"Census Tract 18.05, Travis County, Texas",1786,83,982,122,486,109,496,131,172,90,324,107,804,112,600,115,204,89
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",2233,154,1296,164,724,170,572,141,31,45,541,141,937,176,604,165,333,128
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",1244,117,758,140,347,122,411,100,88,68,323,100,486,121,416,121,70,53
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",2930,122,1547,201,918,203,629,189,256,125,373,147,1383,196,1094,206,289,142
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",2377,137,1562,144,1006,134,556,137,182,82,374,115,815,151,564,149,251,89
1400000US48453001817,48453001817,"Census Tract 18.17, Travis County, Texas",2121,113,803,154,563,134,240,111,37,45,203,98,1318,186,990,175,328,141
1400000US48453001818,48453001818,"Census Tract 18.18, Travis County, Texas",2088,148,1271,203,914,202,357,138,124,92,233,127,817,207,607,177,210,104
1400000US48453001819,48453001819,"Census Tract 18.19, Travis County, Texas",1367,73,964,104,480,103,484,114,142,63,342,100,403,101,259,87,144,54
1400000US48453001820,48453001820,"Census Tract 18.20, Travis County, Texas",2714,150,1270,197,556,146,714,180,266,118,448,148,1444,212,1021,201,423,154
1400000US48453001821,48453001821,"Census Tract 18.21, Travis County, Texas",1978,66,1251,123,769,145,482,127,154,82,328,100,727,131,568,118,159,75
1400000US48453001822,48453001822,"Census Tract 18.22, Travis County, Texas",2399,105,1398,178,847,161,551,162,258,127,293,126,1001,197,679,176,322,136
1400000US48453001823,48453001823,"Census Tract 18.23, Travis County, Texas",2229,91,1540,171,710,144,830,150,240,110,590,147,689,140,433,123,256,110
1400000US48453001824,48453001824,"Census Tract 18.24, Travis County, Texas",747,47,412,59,286,43,126,50,30,19,96,46,335,62,260,65,75,29
1400000US48453001826,48453001826,"Census Tract 18.26, Travis County, Texas",1068,87,470,84,329,72,141,61,12,15,129,58,598,103,471,96,127,54
1400000US48453001828,48453001828,"Census Tract 18.28, Travis County, Texas",1708,65,1210,127,1026,114,184,69,114,61,70,39,498,121,335,96,163,82
