,team,year,DL,LB,OL,QB,RB,S,ST,TE,WR,nDL,nLB,nOL,nQB,nRB,nS,nST,nTE,nWR
81,LA,2015,30368887.0,29694673.0,18608192.0,5218449.0,4731638.0,10053077.0,3947080.0,13900441.0,11144407.0,10.0,8.0,13.0,3.0,6.0,12.0,3.0,2.0,8.0
82,MIA,2015,31949687.0,9727089.0,22120956.0,7473364.0,2610310.0,25392535.0,2050333.0,6034535.0,6960709.0,10.0,10.0,9.0,2.0,3.0,11.0,3.0,5.0,6.0
83,MIN,2015,25681668.0,11524062.0,29660285.0,5245038.0,16848750.0,20233166.0,3455531.0,8550418.0,16088332.0,12.0,8.0,13.0,3.0,3.0,12.0,3.0,3.0,6.0
84,NE,2015,8858341.0,24134525.0,21147010.0,14791795.0,3765727.0,15935743.0,5163000.0,11681013.0,15674944.0,9.0,13.0,11.0,2.0,6.0,13.0,3.0,4.0,9.0
85,NO,2015,9702716.0,11327571.0,18279334.0,25358585.0,5395359.0,20740450.0,4702058.0,3771330.0,9335330.0,12.0,9.0,10.0,4.0,7.0,13.0,3.0,5.0,5.0
86,NYG,2015,17255866.0,10760089.0,22154370.0,15148400.0,6462566.0,20601845.0,3223235.0,1889705.0,14804305.0,13.0,9.0,13.0,2.0,4.0,14.0,5.0,5.0,9.0
87,NYJ,2015,17219077.0,14097440.0,33129881.0,5192407.0,6366250.0,40308804.0,3236421.0,4085680.0,20518240.0,7.0,9.0,10.0,3.0,4.0,14.0,4.0,4.0,7.0
88,OAK,2015,20933981.0,16064736.0,31037198.0,1805864.0,3861550.0,18842819.0,6382735.0,4799544.0,12223760.0,10.0,10.0,10.0,2.0,3.0,12.0,4.0,4.0,7.0
89,PHI,2015,16561679.0,16307387.0,24296705.0,17251176.0,11610000.0,25010679.0,3999332.0,6779554.0,9112326.0,9.0,8.0,12.0,3.0,4.0,13.0,4.0,3.0,6.0
90,PIT,2015,14414837.0,20930370.0,19030630.0,20358139.0,3232082.0,18572873.0,3498647.0,6019394.0,10536026.0,7.0,12.0,14.0,4.0,4.0,12.0,4.0,4.0,7.0
91,SF,2015,9186349.0,18635398.0,19711708.0,17194870.0,4273424.0,14895017.0,5427550.0,2704072.0,13615589.0,8.0,9.0,10.0,3.0,6.0,11.0,3.0,5.0,9.0
92,SEA,2015,27579327.0,13774122.0,12665451.0,8554868.0,9754057.0,29119565.0,5670000.0,9426397.0,9599079.0,11.0,8.0,9.0,2.0,5.0,12.0,3.0,5.0,7.0
93,TB,2015,27707912.0,13865726.0,19349160.0,5965886.0,4496514.0,12323558.0,1514706.0,4336555.0,18116532.0,9.0,11.0,8.0,3.0,4.0,11.0,3.0,5.0,8.0
94,TEN,2015,21810163.0,15342981.0,10656107.0,4994996.0,5229939.0,28830820.0,4744666.0,10746250.0,7871148.0,10.0,9.0,9.0,3.0,4.0,13.0,3.0,5.0,7.0
95,WAS,2015,20455205.0,16741336.0,26840118.0,8872885.0,3430588.0,17271986.0,2102500.0,5431690.0,24269809.0,8.0,13.0,10.0,3.0,5.0,13.0,3.0,6.0,6.0
96,ARI,2016,25399973.0,17478436.0,19181164.0,20967646.0,5054463.0,27361910.0,1235792.0,5880711.0,19490317.0,10.0,11.0,12.0,3.0,5.0,14.0,3.0,5.0,7.0
97,ATL,2016,24778731.0,8219375.0,20866868.0,25500000.0,1775740.0,11639397.0,6743333.0,5477651.0,21875327.0,10.0,9.0,8.0,2.0,3.0,13.0,3.0,5.0,8.0
98,BAL,2016,7160689.0,23228661.0,18703243.0,24050000.0,2464612.0,30570792.0,7540000.0,7590881.0,13560473.0,8.0,13.0,12.0,2.0,4.0,14.0,3.0,5.0,9.0
99,BUF,2016,32071124.0,6180817.0,19266814.0,10292562.0,10285228.0,29454724.0,4245000.0,7932643.0,12984976.0,9.0,8.0,10.0,3.0,5.0,16.0,3.0,6.0,10.0
100,CAR,2016,15961433.0,17863527.0,25041889.0,22310000.0,11174563.0,8794489.0,7893290.0,7957836.0,7573289.0,12.0,8.0,13.0,3.0,4.0,12.0,4.0,3.0,7.0
101,CHI,2016,10889210.0,35223623.0,24676298.0,20140352.0,2095516.0,13281094.0,1751327.0,4500797.0,22967985.0,9.0,13.0,11.0,5.0,4.0,14.0,3.0,5.0,9.0
102,CIN,2016,30774508.0,15238245.0,26846053.0,14195413.0,7582247.0,31008382.0,4104117.0,3917543.0,17782767.0,12.0,8.0,10.0,3.0,5.0,11.0,3.0,3.0,7.0
103,CLE,2016,11097832.0,8113292.0,20904757.0,11209878.0,2914737.0,26279211.0,2719117.0,3587732.0,7873927.0,11.0,8.0,11.0,4.0,7.0,12.0,3.0,3.0,10.0
104,DAL,2016,14250368.0,16191273.0,20972307.0,24140848.0,8975016.0,29243037.0,5920000.0,9490386.0,19718201.0,11.0,11.0,9.0,4.0,4.0,11.0,3.0,4.0,6.0
105,DEN,2016,14554827.0,29108335.0,14038146.0,2261158.0,7632024.0,33774061.0,1731766.0,3912841.0,24598064.0,7.0,11.0,10.0,2.0,5.0,10.0,4.0,4.0,8.0
106,DET,2016,17437886.0,13315554.0,17531329.0,23338820.0,3904254.0,20280410.0,5428164.0,5710554.0,17545940.0,11.0,6.0,10.0,3.0,5.0,13.0,4.0,5.0,7.0
107,GB,2016,26569911.0,21666079.0,21481350.0,19910318.0,4939901.0,27091486.0,3525000.0,3489004.0,19907088.0,7.0,8.0,9.0,3.0,6.0,12.0,3.0,2.0,6.0
108,HOU,2016,23600129.0,28383709.0,30885337.0,14412646.0,7863431.0,25445721.0,3805000.0,2007162.0,6310978.0,9.0,10.0,12.0,3.0,5.0,14.0,4.0,3.0,6.0
109,IND,2016,10251740.0,24024894.0,21088167.0,19900000.0,5653333.0,21914124.0,6750000.0,11027250.0,14566182.0,7.0,12.0,13.0,2.0,5.0,15.0,3.0,3.0,6.0
110,JAC,2016,40458221.0,11227761.0,23087119.0,10864198.0,6248739.0,24304492.0,3350000.0,12433820.0,13376224.0,13.0,7.0,11.0,3.0,7.0,11.0,3.0,5.0,9.0
111,KC,2016,17312330.0,28440181.0,14806657.0,20170000.0,7586518.0,20858616.0,6025667.0,4923789.0,15864762.0,8.0,11.0,9.0,3.0,4.0,11.0,4.0,4.0,7.0
112,LAC,2016,22574852.0,15559380.0,25448438.0,17180000.0,7450731.0,25378292.0,1912622.0,8157465.0,17940096.0,11.0,13.0,12.0,2.0,7.0,12.0,3.0,5.0,9.0
113,LA,2016,22340168.0,21114048.0,18759111.0,9453311.0,6617507.0,21001181.0,4498773.0,5585111.0,16923134.0,9.0,8.0,12.0,3.0,6.0,12.0,3.0,3.0,10.0
114,MIA,2016,38890840.0,8266716.0,28647941.0,13174117.0,1837186.0,23908492.0,2265333.0,10542296.0,6333187.0,9.0,8.0,9.0,3.0,3.0,12.0,3.0,4.0,6.0
115,MIN,2016,28021383.0,11877548.0,31704517.0,12583908.0,13631690.0,29307363.0,1808989.0,9634489.0,9422364.0,12.0,7.0,12.0,4.0,4.0,12.0,3.0,3.0,8.0
116,NE,2016,9057837.0,24325070.0,23885930.0,15245534.0,4084272.0,17468382.0,6387500.0,12041980.0,16898811.0,7.0,8.0,10.0,3.0,4.0,12.0,3.0,3.0,7.0
117,NO,2016,12128365.0,11885800.0,19178869.0,18500000.0,4961191.0,21476299.0,4390000.0,5909389.0,5107012.0,8.0,11.0,11.0,2.0,5.0,19.0,3.0,5.0,7.0
118,NYG,2016,33341085.0,12387201.0,13199442.0,25588400.0,9592891.0,25057895.0,2588235.0,3014713.0,13508051.0,9.0,10.0,8.0,3.0,6.0,12.0,3.0,4.0,7.0
119,NYJ,2016,21981255.0,13959491.0,27802280.0,10107897.0,5357506.0,33930151.0,4744781.0,2592814.0,20732735.0,10.0,11.0,12.0,4.0,6.0,14.0,3.0,5.0,8.0
120,OAK,2016,17566192.0,23229125.0,36668433.0,4623009.0,2818848.0,32972684.0,10187500.0,5753339.0,19127374.0,9.0,11.0,9.0,3.0,4.0,12.0,3.0,4.0,5.0
121,PHI,2016,20487116.0,20354217.0,33329016.0,9850243.0,10290554.0,18185139.0,4135244.0,6367396.0,4779551.0,9.0,9.0,11.0,2.0,5.0,11.0,4.0,4.0,5.0
122,PIT,2016,14107278.0,30557971.0,28316458.0,25334805.0,4362347.0,13754551.0,1730000.0,4064728.0,16850165.0,7.0,12.0,13.0,3.0,3.0,11.0,3.0,4.0,9.0
123,SF,2016,14936960.0,24893772.0,16620035.0,20228753.0,3028935.0,20012766.0,4677550.0,5201512.0,12239415.0,11.0,10.0,10.0,4.0,5.0,15.0,3.0,4.0,10.0
124,SEA,2016,21729171.0,16026373.0,6265843.0,18997000.0,2553442.0,38534450.0,5575000.0,12670853.0,13054809.0,11.0,8.0,9.0,2.0,7.0,13.0,3.0,6.0,6.0
125,TB,2016,31831302.0,16153986.0,28318274.0,8192029.0,10180728.0,27049082.0,3086830.0,4513718.0,20025411.0,12.0,8.0,11.0,3.0,6.0,10.0,3.0,4.0,9.0
126,TEN,2016,16030879.0,24409408.0,20406213.0,7534058.0,7583259.0,23419449.0,6234666.0,10865480.0,14783325.0,9.0,9.0,11.0,3.0,3.0,12.0,3.0,4.0,6.0
127,WAS,2016,10297407.0,15534859.0,25910139.0,22237333.0,2438941.0,19159528.0,2612500.0,8270611.0,23105140.0,7.0,12.0,11.0,3.0,5.0,13.0,3.0,4.0,7.0
128,ARI,2017,11782746.0,20543116.0,28972693.0,29389117.0,3122738.0,35877490.0,4403147.0,6002849.0,21601232.0,7.0,11.0,13.0,4.0,6.0,12.0,3.0,5.0,7.0
129,ATL,2017,33144532.0,4753684.0,25819343.0,27250000.0,5899417.0,21898247.0,6663334.0,3755204.0,27980887.0,11.0,6.0,11.0,2.0,3.0,11.0,3.0,3.0,8.0
130,BAL,2017,8522928.0,17619253.0,23959565.0,26550000.0,5234112.0,25976572.0,7246666.0,4039629.0,17108120.0,8.0,12.0,15.0,2.0,5.0,12.0,3.0,4.0,9.0
131,BUF,2017,24037057.0,7070767.0,35552767.0,10853208.0,11324941.0,13361749.0,4215000.0,11333000.0,5874243.0,8.0,7.0,10.0,3.0,4.0,10.0,3.0,5.0,9.0
132,CAR,2017,34796328.0,27609053.0,23456498.0,22711299.0,11316345.0,14045072.0,5580000.0,15774668.0,8158483.0,12.0,7.0,13.0,3.0,4.0,13.0,3.0,4.0,9.0
133,CHI,2017,15589638.0,30669320.0,32255155.0,21184872.0,2385919.0,24922135.0,2500150.0,9902096.0,14458235.0,7.0,13.0,12.0,3.0,4.0,12.0,5.0,5.0,6.0
134,CIN,2017,25877914.0,18136126.0,17361591.0,16798413.0,7788121.0,32952243.0,4990000.0,7082534.0,24282184.0,8.0,8.0,12.0,3.0,8.0,10.0,3.0,5.0,7.0
135,CLE,2017,13501297.0,22308796.0,43035782.0,2209958.0,4420090.0,11058049.0,5102289.0,3254714.0,4926427.0,9.0,10.0,12.0,3.0,4.0,12.0,3.0,4.0,6.0
136,DAL,2017,21718561.0,13847242.0,23639794.0,1717514.0,8519689.0,13661993.0,6770000.0,16512213.0,25966833.0,13.0,8.0,9.0,3.0,4.0,10.0,3.0,5.0,7.0
137,DEN,2017,18001086.0,32087059.0,23675678.0,3920966.0,6086511.0,33472245.0,3350002.0,4781965.0,24982315.0,9.0,10.0,12.0,4.0,5.0,11.0,3.0,5.0,7.0
